ID,auc,auc_0.1,auc_swapped,auc_swapped_0.1,count
65,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
137,0.55,0.5029239766081871,0.55,0.5029239766081871,11.0
156,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
169,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
190,0.30000000000000004,0.47368421052631576,0.30000000000000004,0.47368421052631576,11.0
273,0.55,0.5029239766081871,0.55,0.5029239766081871,11.0
1564,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1689,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
1714,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1723,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
1736,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1737,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1770,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1777,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
1790,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2944,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2948,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
4199,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4223,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4396,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
4427,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4431,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
4464,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4471,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
5792,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
5816,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
5930,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
5970,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
total,0.5471938775510204,0.5226906552094522,0.5471938775510204,0.5226906552094522,308.0
