ID,auc,auc_0.1,auc_swapped,auc_swapped_0.1,count
19,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
21,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
24,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
34,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
35,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
38,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
41,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
42,1.0,1.0,1.0,1.0,11.0
45,0.95,0.7368421052631579,0.95,0.7368421052631579,11.0
47,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
58,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
60,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
86,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
89,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
92,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
96,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
100,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
103,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
107,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
111,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
119,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
121,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
133,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
141,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
145,0.75,0.5263157894736842,0.75,0.5263157894736842,11.0
150,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
151,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
155,1.0,1.0,1.0,1.0,11.0
160,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
167,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
178,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
187,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
191,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
193,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
196,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
203,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
217,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
227,0.30000000000000004,0.47368421052631576,0.30000000000000004,0.47368421052631576,11.0
229,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
235,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
241,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
242,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
247,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
249,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
256,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
257,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
263,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
268,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
272,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
283,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
287,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
289,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
290,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
293,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
308,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
309,0.65,0.47368421052631576,0.65,0.47368421052631576,11.0
312,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
317,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
318,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
320,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
323,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
331,1.0,1.0,1.0,1.0,11.0
336,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
341,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
348,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
349,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
352,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
354,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
362,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
365,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
369,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
379,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
1554,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1590,0.30000000000000004,0.47368421052631576,0.30000000000000004,0.47368421052631576,11.0
1595,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1596,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1600,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1623,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1624,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
1625,1.0,1.0,1.0,1.0,11.0
1627,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1629,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1671,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1672,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1677,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1679,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1693,0.95,0.7368421052631579,0.95,0.7368421052631579,11.0
1700,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1702,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1709,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1713,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
1720,1.0,1.0,1.0,1.0,11.0
1726,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1727,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
1742,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1749,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
1766,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1773,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1776,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
1778,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
1788,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
1800,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
1802,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2695,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
2698,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2701,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2711,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2725,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
2731,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2739,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2746,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2761,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2763,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2781,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2783,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
2788,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2789,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2790,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2792,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
2793,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2794,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2798,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2799,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2801,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2807,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2808,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2811,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2817,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2823,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2827,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
2830,0.0,0.47368421052631576,0.0,0.47368421052631576,11.0
2831,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2832,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2846,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2851,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
2853,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2859,0.30000000000000004,0.47368421052631576,0.30000000000000004,0.47368421052631576,11.0
2860,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2866,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2882,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2884,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2888,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
2892,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
2895,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2900,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2901,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2916,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2923,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2933,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
2936,0.4,0.47368421052631576,0.4,0.47368421052631576,11.0
2938,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2943,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2945,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2955,0.7,0.47368421052631576,0.7,0.47368421052631576,11.0
2962,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
2973,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2974,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
2977,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
2979,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
2989,0.9500000000000001,0.7368421052631579,0.9500000000000001,0.7368421052631579,11.0
2992,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
2999,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3019,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3022,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
3028,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3031,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3039,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
3044,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3047,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
3051,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3055,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
3056,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4178,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4180,0.8999999999999999,0.47368421052631576,0.8999999999999999,0.47368421052631576,11.0
4185,0.6,0.47368421052631576,0.6,0.47368421052631576,11.0
4186,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4201,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
4205,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4214,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4215,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4219,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4222,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4228,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4240,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4243,0.75,0.47368421052631576,0.75,0.47368421052631576,11.0
4252,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4257,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4267,0.8,0.47368421052631576,0.8,0.47368421052631576,11.0
4273,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4277,0.5,0.47368421052631576,0.5,0.47368421052631576,11.0
4281,0.9,0.47368421052631576,0.9,0.47368421052631576,11.0
4292,0.19999999999999996,0.47368421052631576,0.19999999999999996,0.47368421052631576,11.0
